"sex","la","year","e50","e65","e80","e85"
"female","E06000023",2001,NA,NA,NA,NA
"female","E06000023",2002,78.0094,80.3042,84.4421,87.1315
"female","E06000023",2003,78.0386,80.5826,84.5645,87.1554
"female","E06000023",2004,77.9115,80.1508,84.5351,87.0647
"female","E06000023",2005,78.0059,80.3804,84.5053,86.9753
"female","E06000023",2006,78.2037,80.5198,84.7728,86.7389
"female","E06000023",2007,77.9071,80.5514,84.6442,86.8184
"female","E06000023",2008,77.9063,80.784,84.8085,86.896
"female","E06000023",2009,78.5024,80.9525,85.2355,87.2361
"female","E06000023",2010,78.4941,81.1229,85.1679,87.1638
"female","E06000023",2011,78.224,81.0343,85.0459,87.0281
"female","E06000023",2012,77.6622,80.374,84.8377,87.0619
"female","E06000023",2013,77.8726,80.5127,85.0462,87.2282
"female","E06000024",2001,NA,NA,NA,NA
"female","E06000024",2002,78.9965,80.945,84.8413,87.2132
"female","E06000024",2003,78.7775,81.1958,84.8223,87.0813
"female","E06000024",2004,78.6667,81.0941,84.7987,87.3133
"female","E06000024",2005,78.8451,80.7469,84.7205,86.8802
"female","E06000024",2006,79.0092,81.0813,84.8808,86.7434
"female","E06000024",2007,78.5449,80.8694,84.7987,86.8221
"female","E06000024",2008,78.8032,81.1701,84.8731,86.9209
"female","E06000024",2009,79.2387,81.5401,85.0938,87.296
"female","E06000024",2010,78.8125,81.2816,85.2136,87.3137
"female","E06000024",2011,78.3858,81.0939,85.0584,87.0954
"female","E06000024",2012,78.7275,80.8165,85.0718,87.032
"female","E06000024",2013,78.7594,81.2784,85.2584,87.1618
"female","E06000025",2001,NA,NA,NA,NA
"female","E06000025",2002,77.7177,80.2151,84.8241,87.0233
"female","E06000025",2003,77.6234,80.3908,84.767,87.2
"female","E06000025",2004,77.3297,79.8107,84.3203,87.1412
"female","E06000025",2005,77.5948,80.0246,84.8189,86.9497
"female","E06000025",2006,77.4438,79.6561,84.4319,86.8485
"female","E06000025",2007,77.5832,80.3715,84.4881,86.5561
"female","E06000025",2008,77.961,80.5213,84.9689,87.0398
"female","E06000025",2009,78.4539,80.7314,84.8606,86.9391
"female","E06000025",2010,78.7409,81.1227,85.1404,87.0431
"female","E06000025",2011,78.8386,80.9856,84.8856,87.013
"female","E06000025",2012,78.6897,80.6677,84.9397,87.0043
"female","E06000025",2013,77.8331,80.3685,84.7574,87.1875
"female","E06000026",2001,NA,NA,NA,NA
"female","E06000026",2002,77.7193,80.1107,84.396,87.0367
"female","E06000026",2003,78.0327,80.4885,84.7106,87.0586
"female","E06000026",2004,77.7036,80.2825,84.4459,87.1331
"female","E06000026",2005,77.7708,80.2015,84.4405,86.8533
"female","E06000026",2006,77.7427,80.4828,84.4979,86.7258
"female","E06000026",2007,77.9541,80.3881,84.5083,86.7928
"female","E06000026",2008,78.2544,81.0405,85.0295,87.0301
"female","E06000026",2009,77.8483,80.4085,85.1056,87.1021
"female","E06000026",2010,78.3847,81.0013,84.9283,87.1131
"female","E06000026",2011,77.0744,80.3621,85.066,87.0359
"female","E06000026",2012,77.9962,80.2725,85.1914,87.2314
"female","E06000026",2013,77.6951,79.929,84.4989,86.9283
"female","E06000027",2001,NA,NA,NA,NA
"female","E06000027",2002,78.4826,80.6597,84.9091,87.0133
"female","E06000027",2003,78.9333,81.2077,84.9684,87.3436
"female","E06000027",2004,79.2812,81.4455,85.028,87.061
"female","E06000027",2005,79.1258,80.9983,84.6164,86.9118
"female","E06000027",2006,78.3741,80.8435,84.9841,86.989
"female","E06000027",2007,78.4863,80.9749,84.7251,86.8667
"female","E06000027",2008,79.0958,81.6415,85.1492,86.9955
"female","E06000027",2009,78.9769,81.473,85.079,87.1806
"female","E06000027",2010,78.4258,81.3633,85.1694,87.3286
"female","E06000027",2011,79.0367,81.2136,85.2457,87.0594
"female","E06000027",2012,77.4175,80.5072,84.7492,86.8613
"female","E06000027",2013,79.0887,81.4264,85.6327,87.2168
"female","E06000028",2001,NA,NA,NA,NA
"female","E06000028",2002,79.5642,81.1114,84.8407,87.078
"female","E06000028",2003,79.6933,81.1664,84.8205,87.243
"female","E06000028",2004,78.9565,80.6401,84.6998,87.2568
"female","E06000028",2005,79.2936,81.3385,84.7208,87.0395
"female","E06000028",2006,78.9193,80.7253,84.3575,86.713
"female","E06000028",2007,78.5812,81.0301,84.9443,86.944
"female","E06000028",2008,79.2771,81.4516,85,87.0128
"female","E06000028",2009,79.7091,81.7556,85.1233,87.0899
"female","E06000028",2010,78.9178,81.1014,84.8828,87.0271
"female","E06000028",2011,79.2803,81.3978,85.0053,87.2038
"female","E06000028",2012,78.932,81.1523,84.7173,87.1055
"female","E06000028",2013,78.7046,81.1907,85.0543,87.1872
"female","E06000029",2001,NA,NA,NA,NA
"female","E06000029",2002,79.0792,81.155,84.6734,87.0524
"female","E06000029",2003,78.1028,80.2,84.6154,87.1824
"female","E06000029",2004,79.0604,81.1784,84.6095,87.2528
"female","E06000029",2005,78.5539,81.0103,84.6943,87.038
"female","E06000029",2006,78.4463,80.6381,84.8814,86.9586
"female","E06000029",2007,79.9538,81.2813,84.5831,86.8636
"female","E06000029",2008,79.2226,81.3371,85.0385,86.9321
"female","E06000029",2009,79.1152,81.3036,85.2401,87.1323
"female","E06000029",2010,79.3585,81.2946,85.1288,87.2368
"female","E06000029",2011,78.7721,81.4566,84.9738,87.2798
"female","E06000029",2012,78.9436,81.066,85.3494,87.1462
"female","E06000029",2013,79.6413,81.7956,85.078,87.1619
"female","E06000030",2001,NA,NA,NA,NA
"female","E06000030",2002,76.9572,79.3363,84.4662,87.0861
"female","E06000030",2003,76.8982,80.1553,84.3715,86.9568
"female","E06000030",2004,76.9899,79.8043,84.1852,86.8538
"female","E06000030",2005,77.5927,79.6073,84.415,86.8531
"female","E06000030",2006,77.1456,79.9455,84.3211,86.7877
"female","E06000030",2007,78.0984,80.097,84.4497,86.7975
"female","E06000030",2008,77.2377,79.7789,84.3021,86.9621
"female","E06000030",2009,77.8895,80.0123,85.1071,87.0238
"female","E06000030",2010,77.9186,80.8453,84.7374,87.103
"female","E06000030",2011,77.7344,80.655,84.6222,86.7661
"female","E06000030",2012,77.014,79.9675,84.8853,86.9875
"female","E06000030",2013,77.4155,80.3841,85.0542,87.1802
"female","E06000031",2001,NA,NA,NA,NA
"female","E06000031",2002,76.6717,79.6872,84.4843,87.1626
"female","E06000031",2003,77.7647,79.9788,84.5085,87.047
"female","E06000031",2004,76.8078,79.8472,84.5547,87.3115
"female","E06000031",2005,77.7123,80.3049,84.803,87.0417
"female","E06000031",2006,77.1511,80,84.6357,86.8788
"female","E06000031",2007,77.9157,80.516,84.5192,86.7676
"female","E06000031",2008,77.106,80.3066,84.952,87
"female","E06000031",2009,77.9489,80.6,84.8146,87.1455
"female","E06000031",2010,77.479,80.3204,84.9732,87.1944
"female","E06000031",2011,77.5042,80.7574,84.9731,87.18
"female","E06000031",2012,77.1294,80.0432,84.917,87.194
"female","E06000031",2013,77.5417,80.2557,85.0672,86.9689
"female","E06000032",2001,NA,NA,NA,NA
"female","E06000032",2002,76.5025,79.5433,84.7634,87.051
"female","E06000032",2003,77.3959,80.0189,84.6157,87.0946
"female","E06000032",2004,76.6442,79.7248,84.5603,87.08
"female","E06000032",2005,76.3657,79.255,84.4606,87.0648
"female","E06000032",2006,77.0698,79.75,84.2519,86.6179
"female","E06000032",2007,76.7526,79.4251,84.5683,86.6529
"female","E06000032",2008,76.6569,79.9157,84.5038,86.9248
"female","E06000032",2009,77.2213,79.9305,84.8167,87.0977
"female","E06000032",2010,75.9693,79.9146,84.7085,87.0161
"female","E06000032",2011,76.9465,79.4934,84.6765,87.0857
"female","E06000032",2012,76.6931,79.5835,84.9156,87.1102
"female","E06000032",2013,77.0021,79.9659,84.6461,86.984
"female","E06000033",2001,NA,NA,NA,NA
"female","E06000033",2002,78.1713,80.6971,84.5657,87.1579
"female","E06000033",2003,79.1446,81.1614,84.5535,87.2218
"female","E06000033",2004,79.0355,80.9718,84.8445,87.1781
"female","E06000033",2005,78.5159,80.8344,84.555,86.9722
"female","E06000033",2006,78.8054,80.8951,84.7633,86.9658
"female","E06000033",2007,78.0426,81.0866,84.8597,86.8824
"female","E06000033",2008,79.2735,81.4649,85.0022,86.9735
"female","E06000033",2009,79.4262,81.5503,85.2317,87.1484
"female","E06000033",2010,78.7263,81.1489,84.9632,87.2465
"female","E06000033",2011,78.2732,81.3612,85.2135,87.2743
"female","E06000033",2012,78.7615,80.9982,85.0277,87.1745
"female","E06000033",2013,78.3261,80.7875,84.6041,87.0395
"female","E06000034",2001,NA,NA,NA,NA
"female","E06000034",2002,76.9518,79.1577,84.3009,86.9167
"female","E06000034",2003,76.716,79.4255,84.3612,87.2453
"female","E06000034",2004,77.0537,79.7227,84.2209,86.9029
"female","E06000034",2005,77.3232,80.1406,84.4741,86.8632
