"ecode","ons_code","ons_region_name","start_year","children","adult","older"
"E1533","E07000068","East of England",2011,0,0,0
"E1533","E07000068","East of England",2012,0,0,0
"E1533","E07000068","East of England",2013,0,0,0
"E1534","E07000069","East of England",2008,0,0,0
"E1534","E07000069","East of England",2009,0,0,0
"E1534","E07000069","East of England",2010,0,0,0
"E1534","E07000069","East of England",2011,0,0,0
"E1534","E07000069","East of England",2012,0,0,0
"E1534","E07000069","East of England",2013,0,0,0
"E1535","E07000070","East of England",2008,0,0,0
"E1535","E07000070","East of England",2009,0,0,31
"E1535","E07000070","East of England",2010,0,0,0
"E1535","E07000070","East of England",2011,0,0,0
"E1535","E07000070","East of England",2012,0,0,0
"E1535","E07000070","East of England",2013,0,0,0
"E1536","E07000071","East of England",2008,0,0,1518
"E1536","E07000071","East of England",2009,0,0,1753
"E1536","E07000071","East of England",2010,0,0,1281
"E1536","E07000071","East of England",2011,0,0,1244
"E1536","E07000071","East of England",2012,0,0,1228
"E1536","E07000071","East of England",2013,0,1105,0
"E1537","E07000072","East of England",2008,0,0,0
"E1537","E07000072","East of England",2009,0,0,0
"E1537","E07000072","East of England",2010,0,0,0
"E1537","E07000072","East of England",2011,0,0,0
"E1537","E07000072","East of England",2012,0,0,0
"E1537","E07000072","East of England",2013,0,0,0
"E1538","E07000073","East of England",2008,0,2040,575
"E1538","E07000073","East of England",2009,0,0,399
"E1538","E07000073","East of England",2010,0,0,354
"E1538","E07000073","East of England",2011,0,0,347
"E1538","E07000073","East of England",2012,0,0,338
"E1538","E07000073","East of England",2013,0,0,357
"E1539","E07000074","East of England",2008,0,0,0
"E1539","E07000074","East of England",2009,0,0,0
"E1539","E07000074","East of England",2010,0,0,0
"E1539","E07000074","East of England",2011,0,0,0
"E1539","E07000074","East of England",2012,0,0,0
"E1539","E07000074","East of England",2013,0,0,0
"E1540","E07000075","East of England",2008,0,0,5
"E1540","E07000075","East of England",2009,0,0,5
"E1540","E07000075","East of England",2010,0,0,2
"E1540","E07000075","East of England",2011,0,0,4
"E1540","E07000075","East of England",2012,0,0,6
"E1540","E07000075","East of England",2013,0,0,3
"E1542","E07000076","East of England",2008,0,0,408
"E1542","E07000076","East of England",2009,0,0,494
"E1542","E07000076","East of England",2010,0,0,553
"E1542","E07000076","East of England",2011,0,0,460
"E1542","E07000076","East of England",2012,0,0,446
"E1542","E07000076","East of England",2013,0,0,407
"E1544","E07000077","East of England",2008,0,0,97
"E1544","E07000077","East of England",2009,0,0,99
"E1544","E07000077","East of England",2010,0,0,108
"E1544","E07000077","East of England",2011,0,0,93
"E1544","E07000077","East of England",2012,0,0,89
"E1544","E07000077","East of England",2013,0,0,81
"E1620","E10000013","South West",2008,2204,146508,97504
"E1620","E10000013","South West",2009,949,541,99913
"E1620","E10000013","South West",2010,1084,483,97791
"E1620","E10000013","South West",2011,12299,453,99070
"E1620","E10000013","South West",2012,1047,630,110191
"E1620","E10000013","South West",2013,2093,1461,115633
"E1631","E07000078","South West",2008,0,0,0
"E1631","E07000078","South West",2009,0,0,0
"E1631","E07000078","South West",2010,0,0,0
"E1631","E07000078","South West",2011,0,0,0
"E1631","E07000078","South West",2012,0,0,0
"E1631","E07000078","South West",2013,0,0,0
"E1632","E07000079","South West",2008,0,0,0
"E1632","E07000079","South West",2009,0,0,0
"E1632","E07000079","South West",2010,0,0,0
"E1632","E07000079","South West",2011,0,0,0
"E1632","E07000079","South West",2012,0,0,0
"E1632","E07000079","South West",2013,0,0,0
"E1633","E07000080","South West",2008,0,0,0
"E1633","E07000080","South West",2009,0,0,0
"E1633","E07000080","South West",2010,0,0,0
"E1633","E07000080","South West",2011,0,0,0
"E1633","E07000080","South West",2012,0,0,0
"E1633","E07000080","South West",2013,0,0,0
"E1634","E07000081","South West",2008,0,0,0
