"la","year","sex","s_35","s_50","s_65","s_80","s_85"
"E06000007",2011,"male",0.00345775,0.00359259,0.00507042,0.0165994,0.0415402
"E06000007",2012,"female",0.00395911,0.00463136,0.00544466,0.0174926,0.0432106
"E06000007",2012,"male",0.00316579,0.00348421,0.00486923,0.0219461,0.0593291
"E06000007",2013,"female",0.0049329,0.00497663,0.0066739,0.0208516,0.0549593
"E06000007",2013,"male",0.00354661,0.00489202,0.00583645,0.0273635,0.0706186
"E06000008",2002,"female",0.00342224,0.00426541,0.00700884,0.0159268,0.0523704
"E06000008",2002,"male",0.00473412,0.00602342,0.00902156,0.0290426,0.0833629
"E06000008",2003,"female",0.0039757,0.00552432,0.00595612,0.0226242,0.0565595
"E06000008",2003,"male",0.00346438,0.00356143,0.00582096,0.0212877,0.069844
"E06000008",2004,"female",0.00402903,0.00412669,0.00659182,0.0228064,0.0583338
"E06000008",2004,"male",0.00377534,0.00391776,0.0070447,0.0323637,0.102282
"E06000008",2005,"female",0.00372576,0.00521364,0.00859189,0.0289258,0.0730793
"E06000008",2005,"male",0.00321954,0.00442213,0.00718537,0.0257553,0.0663715
"E06000008",2006,"female",0.00299038,0.00405833,0.0079242,0.0295669,0.0943264
"E06000008",2006,"male",0.00342599,0.00361863,0.00671141,0.0246805,0.0595174
"E06000008",2007,"female",0.00462153,0.00618305,0.0065451,0.02607,0.0597741
"E06000008",2007,"male",0.00331222,0.00444053,0.00775842,0.0225751,0.0672338
"E06000008",2008,"female",0.00421154,0.00521094,0.00910763,0.0219234,0.0520973
"E06000008",2008,"male",0.00292465,0.00416899,0.00550899,0.0154528,0.0475576
"E06000008",2009,"female",0.00381282,0.0047337,0.00804718,0.0168562,0.0490297
"E06000008",2009,"male",0.00305142,0.00428432,0.00685863,0.0199187,0.04505
"E06000008",2010,"female",0.0042008,0.00443305,0.00732638,0.0241093,0.049314
"E06000008",2010,"male",0.00393844,0.00463283,0.00718002,0.0201807,0.0707034
"E06000008",2011,"female",0.00400556,0.00443843,0.0078151,0.0264726,0.066594
"E06000008",2011,"male",0.00370432,0.0043061,0.00554516,0.0182444,0.0648649
"E06000008",2012,"female",0.00458234,0.00675447,0.00614539,0.0202583,0.0463424
"E06000008",2012,"male",0.00426384,0.00514283,0.00742515,0.0182813,0.0623233
"E06000008",2013,"female",0.00450036,0.00650075,0.0106631,0.0347855,0.111341
"E06000008",2013,"male",0.00385807,0.00464602,0.00687582,0.0282083,0.0409354
"E06000009",2002,"female",0.00366716,0.00430125,0.00543849,0.0226837,0.0726181
"E06000009",2002,"male",0.00325808,0.00322363,0.00424403,0.0154002,0.044842
"E06000009",2003,"female",0.00377067,0.00480061,0.00670937,0.0122015,0.0230395
"E06000009",2003,"male",0.0032813,0.00308299,0.00509622,0.0155884,0.045491
"E06000009",2004,"female",0.00369612,0.00422701,0.00655271,0.0167798,0.0274417
"E06000009",2004,"male",0.00283005,0.00305897,0.00586337,0.020099,0.0469767
"E06000009",2005,"female",0.00441519,0.00439081,0.00636088,0.0234434,0.0557732
"E06000009",2005,"male",0.00339411,0.00356321,0.00550843,0.0208001,0.0727753
"E06000009",2006,"female",0.00331415,0.00400668,0.00640042,0.0190053,0.0357671
"E06000009",2006,"male",0.00397196,0.00389401,0.00588828,0.0233115,0.07211
"E06000009",2007,"female",0.00405665,0.0034521,0.00592087,0.0208027,0.0748785
"E06000009",2007,"male",0.00357749,0.00397349,0.00608323,0.0219422,0.0673026
"E06000009",2008,"female",0.00388266,0.00523554,0.00753006,0.0215226,0.0686232
"E06000009",2008,"male",0.0046907,0.00497481,0.00731507,0.0337048,0.116146
"E06000009",2009,"female",0.00406053,0.00508914,0.00593143,0.0283707,0.0774463
"E06000009",2009,"male",0.00475301,0.0057925,0.00725938,0.0226754,0.0498537
"E06000009",2010,"female",0.00486933,0.00615395,0.00467425,0.0160522,0.040832
"E06000009",2010,"male",0.00357004,0.00399935,0.00535312,0.0255863,0.0877816
"E06000009",2011,"female",0.00416847,0.0049781,0.00660376,0.0207945,0.0664224
"E06000009",2011,"male",0.00319912,0.00362187,0.00799671,0.0195178,0.0620903
"E06000009",2012,"female",0.0032107,0.00348241,0.00565168,0.0148764,0.0267645
"E06000009",2012,"male",0.00350616,0.00447511,0.00718981,0.0159309,0.0253465
"E06000009",2013,"female",0.00337671,0.00391756,0.00561655,0.0182948,0.0429624
"E06000009",2013,"male",0.00327325,0.0043477,0.00693912,0.0163678,0.046286
"E06000010",2002,"female",0.00266561,0.00320416,0.00564921,0.0209059,0.0665274
"E06000010",2002,"male",0.00266358,0.00292627,0.00463135,0.0204976,0.0396351
"E06000010",2003,"female",0.00358017,0.00556873,0.00472674,0.0151158,0.0320189
"E06000010",2003,"male",0.00298702,0.00389173,0.00693485,0.0290288,0.0486701
"E06000010",2004,"female",0.00317893,0.00300828,0.00486646,0.0168041,0.0430429
"E06000010",2004,"male",0.00296776,0.00295718,0.00600802,0.0234457,0.0570615
"E06000010",2005,"female",0.00324337,0.00321625,0.00567766,0.0137148,0.0362908
"E06000010",2005,"male",0.00274238,0.00354724,0.00581492,0.0208443,0.0703351
"E06000010",2006,"female",0.00353464,0.00529951,0.00500288,0.0190025,0.0672542
"E06000010",2006,"male",0.00439193,0.00393336,0.00489964,0.0162714,0.0463198
"E06000010",2007,"female",0.00304212,0.00360688,0.00560235,0.0185182,0.0599761
"E06000010",2007,"male",0.00275353,0.00335266,0.00652461,0.0226853,0.0788334
"E06000010",2008,"female",0.00310574,0.00356424,0.00588265,0.0199708,0.0716267
"E06000010",2008,"male",0.00320243,0.00383886,0.00692521,0.0319747,0.102387
"E06000010",2009,"female",0.00379853,0.00463533,0.00767737,0.0165131,0.0312372
"E06000010",2009,"male",0.0019097,0.00244115,0.00467611,0.015794,0.0521125
"E06000010",2010,"female",0.00370881,0.00432878,0.00752069,0.0169501,0.0487719
"E06000010",2010,"male",0.00331694,0.00256137,0.00474164,0.0165369,0.0336922
"E06000010",2011,"female",0.00311878,0.00284149,0.00549766,0.0095121,0.0232207
"E06000010",2011,"male",0.00376972,0.00310986,0.00514896,0.0204167,0.0714252
"E06000010",2012,"female",0.00431777,0.00580279,0.00602357,0.0106757,0.0342814
"E06000010",2012,"male",0.00291451,0.00245396,0.00421258,0.0185118,0.0467947
"E06000010",2013,"female",0.00339946,0.00392597,0.00482803,0.0136312,0.0475663
"E06000010",2013,"male",0.00337906,0.00392529,0.00587409,0.0185931,0.044726
"E06000011",2002,"female",0.00357426,0.00415736,0.0056778,0.0249646,0.0489461
"E06000011",2002,"male",0.00283904,0.00335625,0.0046572,0.0210035,0.0370904
"E06000011",2003,"female",0.00339004,0.00370857,0.00580077,0.0196885,0.0687988
"E06000011",2003,"male",0.00286494,0.00385942,0.00492604,0.0228431,0.0709775
"E06000011",2004,"female",0.00339805,0.00308041,0.0042354,0.015054,0.0418291
"E06000011",2004,"male",0.00236518,0.00313179,0.00452165,0.0127643,0.0260567
"E06000011",2005,"female",0.00422823,0.00463453,0.00606061,0.0193709,0.0420396
"E06000011",2005,"male",0.00348903,0.00326622,0.0050143,0.0190408,0.0539586
"E06000011",2006,"female",0.00441777,0.00560126,0.00485567,0.0159567,0.0415118
"E06000011",2006,"male",0.00265156,0.00333859,0.00429757,0.0194724,0.0546618
"E06000011",2007,"female",0.00358289,0.00386974,0.00458593,0.0196289,0.0292263
"E06000011",2007,"male",0.00425176,0.00257672,0.00520018,0.0138512,0.0309929
"E06000011",2008,"female",0.00326331,0.00422056,0.0050851,0.0177143,0.0493884
"E06000011",2008,"male",0.00436812,0.00308737,0.00489644,0.0137408,0.0329965
"E06000011",2009,"female",0.00460424,0.00504687,0.00526334,0.0146301,0.0430319
"E06000011",2009,"male",0.00267883,0.00305892,0.00521413,0.0192141,0.0406626
"E06000011",2010,"female",0.00368806,0.00320913,0.00404305,0.016295,0.0464888
"E06000011",2010,"male",0.00266609,0.00352181,0.00512608,0.0168467,0.0495393
"E06000011",2011,"female",0.00369471,0.00343283,0.00558014,0.0158793,0.0459123
"E06000011",2011,"male",0.00428155,0.00328941,0.00430785,0.0192974,0.0464735
"E06000011",2012,"female",0.00433889,0.00381102,0.00385681,0.0144616,0.0396082
"E06000011",2012,"male",0.00275152,0.00269675,0.00509733,0.0177517,0.0557786
"E06000011",2013,"female",0.00361824,0.00358826,0.00542762,0.0195961,0.0539269
"E06000011",2013,"male",0.00421693,0.00426826,0.00519892,0.0165798,0.0399969
"E06000012",2002,"female",0.00495609,0.00627116,0.00479043,0.0157265,0.0338477
"E06000012",2002,"male",0.00358773,0.0034894,0.00556036,0.0256743,0.0568995
"E06000012",2003,"female",0.00469705,0.00647437,0.00670882,0.0180498,0.0442784
"E06000012",2003,"male",0.0050599,0.00446391,0.00637304,0.0196949,0.0651738
"E06000012",2004,"female",0.00416963,0.00435205,0.00791561,0.0174784,0.0608819
"E06000012",2004,"male",0.00263536,0.00304734,0.00556883,0.0246689,0.0777891
"E06000012",2005,"female",0.00398442,0.00356536,0.00649032,0.0151222,0.0443025
"E06000012",2005,"male",0.00295951,0.00280596,0.00467754,0.0186836,0.0538477
"E06000012",2006,"female",0.00476343,0.00657834,0.00757075,0.0256443,0.0739435
"E06000012",2006,"male",0.00353826,0.00427883,0.00479351,0.0155388,0.0279785
"E06000012",2007,"female",0.0039855,0.0054149,0.00577338,0.0175159,0.038638
"E06000012",2007,"male",0.00428891,0.0050548,0.00530277,0.0145777,0.052658
"E06000012",2008,"female",0.00454091,0.00551491,0.00626703,0.0252976,0.0753243
"E06000012",2008,"male",0.00380752,0.00374596,0.00638315,0.0293071,0.0952029
"E06000012",2009,"female",0.00409065,0.00458217,0.00613117,0.019235,0.0371979
"E06000012",2009,"male",0.0037184,0.0047208,0.00604241,0.0164625,0.0392201
"E06000012",2010,"female",0.00442892,0.00588399,0.00662458,0.0236552,0.0785378
"E06000012",2010,"male",0.00362882,0.00385874,0.00552554,0.018399,0.0547533
"E06000012",2011,"female",0.00408984,0.00479304,0.00755697,0.0279269,0.0971679
"E06000012",2011,"male",0.00381278,0.00418259,0.0052019,0.0130492,0.0281392
"E06000012",2012,"female",0.0040307,0.00525726,0.00790276,0.0229136,0.0483228
"E06000012",2012,"male",0.00362049,0.00419416,0.00616048,0.0204008,0.0622959
"E06000012",2013,"female",0.00455791,0.00521393,0.0068166,0.0201272,0.0572691
"E06000012",2013,"male",0.00441088,0.00442279,0.00603323,0.0125998,0.0298153
"E06000013",2002,"female",0.00386746,0.00456918,0.00634301,0.0206672,0.0672861
"E06000013",2002,"male",0.00404895,0.00371324,0.00689334,0.0291891,0.0988967
"E06000013",2003,"female",0.00470927,0.00488221,0.00755165,0.0239061,0.0352102
"E06000013",2003,"male",0.00426841,0.00420011,0.00506701,0.0151191,0.0462244
"E06000013",2004,"female",0.00435722,0.00431,0.00637347,0.0274153,0.0940731
"E06000013",2004,"male",0.00460113,0.00580586,0.00548062,0.0219098,0.046345
"E06000013",2005,"female",0.0042152,0.00562838,0.0057637,0.0195248,0.0512469
"E06000013",2005,"male",0.00420438,0.0045608,0.00691197,0.0218324,0.0803974
"E06000013",2006,"female",0.00409117,0.00359137,0.00479556,0.0137139,0.0473713
"E06000013",2006,"male",0.00423023,0.00516143,0.00612484,0.0267282,0.0695408
"E06000013",2007,"female",0.00385755,0.00435182,0.00714732,0.0255767,0.0616837
"E06000013",2007,"male",0.00324952,0.00363198,0.00525275,0.0193804,0.0363883
"E06000013",2008,"female",0.00322736,0.00355076,0.00695643,0.0167007,0.0305647
"E06000013",2008,"male",0.00311845,0.00387585,0.00558294,0.0246897,0.0913688
"E06000013",2009,"female",0.0039991,0.0051587,0.00750431,0.0313976,0.0319636
"E06000013",2009,"male",0.00397489,0.00445341,0.00573216,0.020028,0.0490751
"E06000013",2010,"female",0.00383967,0.00451333,0.00782988,0.0244878,0.0780401
"E06000013",2010,"male",0.00355204,0.00407221,0.00816191,0.0148492,0.0169482
"E06000013",2011,"female",0.0045532,0.00469779,0.00674928,0.0235005,0.0661805
"E06000013",2011,"male",0.00342639,0.00388262,0.00739309,0.0240097,0.0616959
"E06000013",2012,"female",0.00353285,0.00501753,0.0065903,0.0120939,0.0270967
"E06000013",2012,"male",0.00377305,0.00398506,0.0063632,0.0151635,0.0220983
"E06000013",2013,"female",0.00415055,0.00569339,0.00588562,0.0225918,0.0563069
"E06000013",2013,"male",0.00465965,0.0043447,0.00658949,0.0313138,0.0797065
"E06000014",2002,"female",0.00467864,0.00588974,0.00653818,0.0163394,0.0424885
"E06000014",2002,"male",0.00330516,0.00384151,0.00602412,0.0241631,0.0596338
"E06000014",2003,"female",0.00434572,0.00514552,0.0058997,0.0217752,0.0719644
"E06000014",2003,"male",0.00384879,0.00422346,0.00656101,0.0234325,0.0851364
"E06000014",2004,"female",0.00375957,0.00366594,0.00687803,0.0282269,0.0555388
"E06000014",2004,"male",0.00376504,0.00392388,0.00555927,0.0213235,0.044904
"E06000014",2005,"female",0.00504263,0.00664813,0.00616699,0.0141209,0.0366244
"E06000014",2005,"male",0.00364001,0.00379858,0.00664505,0.0219113,0.0649763
"E06000014",2006,"female",0.00353375,0.00411262,0.00616621,0.0253547,0.0711268
"E06000014",2006,"male",0.00360252,0.00478528,0.00926245,0.0346652,0.114087
"E06000014",2007,"female",0.00470361,0.00564973,0.00927073,0.0198015,0.0431439
"E06000014",2007,"male",0.00501232,0.00657656,0.00749517,0.0265427,0.0467728
"E06000014",2008,"female",0.00406496,0.00420788,0.00728662,0.0222998,0.0651267
"E06000014",2008,"male",0.00356623,0.00457464,0.00617237,0.0241984,0.0868542
"E06000014",2009,"female",0.00526621,0.00745274,0.00587667,0.0189139,0.0314363
"E06000014",2009,"male",0.00393181,0.00447284,0.00603284,0.022067,0.0351838
"E06000014",2010,"female",0.00539443,0.00581454,0.00874927,0.0170383,0.0445187
"E06000014",2010,"male",0.00423468,0.00466142,0.00853346,0.0209335,0.0572326
"E06000014",2011,"female",0.00428182,0.00513225,0.00837989,0.0171544,0.0536643
